Biomarker,Importance
DEFB124.1,0.007129171870235945
RN7SL864P,0.005682188929318312
MIR4755,0.005628597585930378
HM13.1,0.005480734617621897
WFDC8.1,0.00530705934773503
SNORA71A.1,0.005134793502544974
PKIG.1,0.005104648404431977
DEFB123,0.004860614689226801
DUSP15.1,0.0036254060471604546
AAR2,0.003514555728066733
NR2F1,0.0033209076801502006
CSPG5,0.0031749388093447657
KRT16P3,0.003140934926717956
PRR26,0.0031380663173736557
NHLRC4,0.0030885932913293484
ADIG.1,0.003076080899772971
STAU1.1,0.00301909412433607
SNORA71C.1,0.0029483504721794307
HIST2H2AB,0.0029167330667063287
SEL1L2.1,0.0029159808975206614
